Rk,Date,Tm,,Opp,P,Time,,Description
56,1/29/19,BOS,,WPG,3,11:39,EV,Goal by Patrice Bergeron assisted by Brad Marchand and David Pastrnak
57,1/31/19,BOS,,PHI,1,3:05,PP,Goal by David Pastrnak assisted by Torey Krug and Brad Marchand
58,2/5/19,BOS,,NYI,2,2:32,EV,Goal by Patrice Bergeron assisted by David Pastrnak and Brad Marchand
59,2/5/19,BOS,,NYI,3,19:05,EV,Goal by Patrice Bergeron assisted by David Pastrnak and Brad Marchand
60,2/6/19,BOS,@,NYR,2,10:37,EV,Goal by Danton Heinen assisted by Matt Grzelcyk and Brad Marchand
61,2/6/19,BOS,@,NYR,2,15:11,PP,Goal by Patrice Bergeron assisted by Torey Krug and Brad Marchand
62,2/9/19,BOS,,LAK,3,3:27,EV,Goal by Danton Heinen assisted by Charlie McAvoy and Brad Marchand
63,2/9/19,BOS,,LAK,3,6:49,SH,Goal by Brad Marchand assisted by Patrice Bergeron
64,2/10/19,BOS,,COL,2,3:40,EV,Goal by John Moore assisted by Charlie McAvoy and Brad Marchand
65,2/10/19,BOS,,COL,OT,4:03,EV,Goal by Brad Marchand assisted by Patrice Bergeron and Torey Krug
66,2/12/19,BOS,,CHI,1,15:36,EV,Goal by Danton Heinen assisted by Brad Marchand and Zdeno Chara
67,2/12/19,BOS,,CHI,1,18:59,EV,Goal by Brad Marchand assisted by Danton Heinen and Patrice Bergeron
68,2/12/19,BOS,,CHI,2,18:06,EV,Goal by Jake Debrusk assisted by David Krejci and Brad Marchand
69,2/12/19,BOS,,CHI,3,15:42,EV,Goal by David Krejci assisted by Brad Marchand and Jake Debrusk
70,2/16/19,BOS,@,LAK,2,16:15,EV,Goal by Brad Marchand assisted by Patrice Bergeron
71,2/20/19,BOS,@,VEG,3,1:09,EV,Goal by Brad Marchand assisted by Danton Heinen and Charlie McAvoy
72,2/26/19,BOS,,SJS,1,14:39,PP,Goal by David Krejci assisted by Torey Krug and Brad Marchand
73,2/26/19,BOS,,SJS,2,9:09,EV,Goal by Charlie McAvoy assisted by Brad Marchand and Danton Heinen
74,2/26/19,BOS,,SJS,2,12:28,SH,Goal by Brad Marchand assisted by Patrice Bergeron and Brandon Carlo
75,2/28/19,BOS,,TBL,3,13:15,EV,Goal by Brad Marchand assisted by Danton Heinen and Torey Krug
76,3/2/19,BOS,,NJD,1,2:37,PP,Goal by Brad Marchand assisted by Patrice Bergeron and Jake Debrusk
77,3/5/19,BOS,,CAR,3,2:45,SH,Goal by Patrice Bergeron assisted by Brad Marchand
78,3/7/19,BOS,,FLA,3,8:50,SH,Goal by Patrice Bergeron assisted by Charlie McAvoy and Brad Marchand
79,3/7/19,BOS,,FLA,3,19:23,PP,Goal by Matt Grzelcyk assisted by Brad Marchand and Charlie McAvoy
80,3/7/19,BOS,,FLA,3,19:53,EV,Goal by Patrice Bergeron assisted by Brad Marchand
81,3/9/19,BOS,,OTT,2,10:11,PP,Goal by Brad Marchand assisted by Torey Krug and Patrice Bergeron
82,3/10/19,BOS,@,PIT,2,4:32,PP,Goal by David Krejci assisted by Danton Heinen and Brad Marchand
83,3/12/19,BOS,@,CBJ,1,4:00,SH,Goal by Patrice Bergeron assisted by Brad Marchand
84,3/12/19,BOS,@,CBJ,2,13:07,EV,Goal by Brad Marchand assisted by Charlie McAvoy and David Backes
85,3/12/19,BOS,@,CBJ,2,18:37,EV,Goal by Brad Marchand assisted by Patrice Bergeron
86,3/16/19,BOS,,CBJ,1,5:51,PP,Goal by Patrice Bergeron assisted by Brad Marchand and David Krejci
87,3/16/19,BOS,,CBJ,OT,3:30,EV,Goal by Brad Marchand assisted by Patrice Bergeron
88,3/21/19,BOS,@,NJD,1,18:34,EV,Goal by Patrice Bergeron assisted by David Pastrnak and Brad Marchand
89,3/21/19,BOS,@,NJD,2,12:58,EV,Goal by David Pastrnak assisted by Brad Marchand and Patrice Bergeron
90,3/21/19,BOS,@,NJD,3,18:42,EV,Goal by Patrice Bergeron assisted by Brad Marchand and David Krejci
91,3/23/19,BOS,@,FLA,2,0:28,EV,Goal by Brad Marchand assisted by Patrice Bergeron
92,3/23/19,BOS,@,FLA,3,19:33,EV,Goal by Patrice Bergeron assisted by David Pastrnak and Brad Marchand
93,3/25/19,BOS,@,TBL,1,8:30,PP,Goal by Brad Marchand assisted by David Pastrnak and Patrice Bergeron
94,3/25/19,BOS,@,TBL,2,14:32,EV,Goal by Brad Marchand assisted by David Pastrnak and Patrice Bergeron
95,3/27/19,BOS,,NYR,1,2:48,PP,Goal by David Pastrnak assisted by Brad Marchand and Patrice Bergeron
96,3/27/19,BOS,,NYR,3,12:52,PP,Goal by David Pastrnak assisted by Torey Krug and Brad Marchand
97,3/27/19,BOS,,NYR,3,16:23,PP,Goal by Patrice Bergeron assisted by David Pastrnak and Brad Marchand
98,3/31/19,BOS,@,DET,2,9:50,SH,Goal by Brad Marchand assisted by Patrice Bergeron and Brandon Carlo
99,4/2/19,BOS,@,CBJ,2,15:14,EV,Goal by Brad Marchand
100,4/2/19,BOS,@,CBJ,3,0:34,EV,Goal by David Pastrnak assisted by Patrice Bergeron and Brad Marchand
